Msg Index	lot type	substrate type	material type	process step name	tool name	panel count	defectivity	processing time	job ID	elapsed time
0	FDC39B	Polyimide	aSi	POST GATE DEPOSITION ORBOTECH	Orbotech-203D	4	3.0	37.0	4	15875.666666666666
0	FDC39B	Polyimide	aSi	GATE ETCH ORBOTECH INSPECTION	Orbotech-203D	4	0.0	60.0	1	15935.666666666666
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	365.0	7	16203.666666666666
0	FDC39B	Polyimide	aSi	POST GATE DEPOSITION ORBOTECH	Orbotech-203D	4	9.0	280.0	5	16215.666666666666
0	FDC39B	Polyimide	aSi	GATE METAL	KDF744NT-219	4	-1.0	468.0	6	16314.857142857143
0	FDC39B	Polyimide	aSi	AZORES STACK PHOTO	Azores 205B	4	-1.0	6985.0	0	16340.47619047619
0	FDC39B	Polyimide	aSi	POST GATE DEPOSITION ORBOTECH	Orbotech-203D	4	2.0	322.6666666666668	6	16637.52380952381
0	FDC39B	Polyimide	aSi	ACTIVE PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	2.0	66.0	0	16703.52380952381
0	FDC39B	Polyimide	aSi	AZORES GATE PHOTO	Azores 205B	4	-1.0	492.0	2	16832.47619047619
0	FDC39B	Polyimide	aSi	GATE PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	0.0	70.0	2	16902.47619047619
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	757.0	4	16960.666666666664
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	54.6666666666668	5	17015.333333333332
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	52.0	6	17067.333333333332
0	FDC39B	Polyimide	aSi	AZORES GATE PHOTO	Azores 205B	4	-1.0	904.0	3	17736.47619047619
0	FDC39B	Polyimide	aSi	GATE PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	1.0	28.5	3	17764.97619047619
0	FDC39B	Polyimide	aSi	AZORES GATE PHOTO	Azores 205B	4	-1.0	412.666666666668	4	18149.14285714286
0	FDC39B	Polyimide	aSi	GATE PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	0.0	271.0	4	18420.14285714286
0	FDC39B	Polyimide	aSi	IN LINE LASER REPAIR	TMP Laser Repair	4	-1.0	2786.0	1	18721.666666666664
0	FDC39B	Polyimide	aSi	AZORES GATE PHOTO	Azores 205B	4	-1.0	1100.666666666668	5	19249.809523809527
0	FDC39B	Polyimide	aSi	GATE PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	9.0	70.0	5	19319.809523809527
0	FDC39B	Polyimide	aSi	AZORES GATE PHOTO	Azores 205B	4	-1.0	329.3333333333332	6	19579.14285714286
0	FDC39B	Polyimide	aSi	STACK ETCH, ASI, GEN II	AKT1600B-209	4	-1.0	2989.0	0	19692.52380952381
0	FDC39B	Polyimide	aSi	GATE ETCH, GEN II	AKT1600B-209	4	-1.0	120.6666666666668	2	19813.190476190477
0	FDC39B	Polyimide	aSi	GATE PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	0.0	271.0	6	19850.14285714286
0	FDC39B	Polyimide	aSi	GATE METAL	KDF744NT-219	4	-1.0	3867.333333333332	7	20182.190476190473
0	FDC39B	Polyimide	aSi	POST GATE DEPOSITION ORBOTECH	Orbotech-203D	4	5.0	582.5	7	20764.690476190473
0	FDC39B	Polyimide	aSi	GATE ETCH, GEN II	AKT1600B-209	4	-1.0	1109.0	3	20922.190476190477
0	FDC39B	Polyimide	aSi	GATE ETCH, GEN II	AKT1600B-209	4	-1.0	945.333333333332	4	21867.52380952381
0	FDC39B	Polyimide	aSi	GATE ETCH, GEN II	AKT1600B-209	4	-1.0	69.3333333333332	5	21936.85714285714
0	FDC39B	Polyimide	aSi	GATE ETCH, GEN II	AKT1600B-209	4	-1.0	120.6666666666668	6	22057.52380952381
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	4093.0	1	22814.666666666664
0	FDC39B	Polyimide	aSi	STACK DEPOSITION, ASI, GEN II	AKT1600D-209	4	-1.0	274.0	1	23088.666666666664
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	684.0	0	23498.666666666664
0	FDC39B	Polyimide	aSi	STACK ETCH ORBOTECH INSPECTION	Orbotech-203D	4	0.0	588.0	0	24086.666666666664
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	4093.0	2	27591.666666666664
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	462.0	7	28053.666666666664
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	74.0	3	28127.666666666664
0	FDC39B	Polyimide	aSi	GATE ETCH ORBOTECH INSPECTION	Orbotech-203D	4	8.0	650.0	2	28241.666666666664
0	FDC39B	Polyimide	aSi	GATE ETCH ORBOTECH INSPECTION	Orbotech-203D	4	5.0	189.3333333333332	3	28430.999999999996
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	365.0	4	28492.666666666664
0	FDC39B	Polyimide	aSi	GATE ETCH ORBOTECH INSPECTION	Orbotech-203D	4	4.0	25.0	4	28517.666666666664
0	FDC39B	Polyimide	aSi	AZORES GATE PHOTO	Azores 205B	4	-1.0	1100.666666666668	7	29154.333333333332
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	716.666666666668	5	29209.333333333332
0	FDC39B	Polyimide	aSi	GATE PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	6.0	69.7142857142856	7	29224.04761904762
0	FDC39B	Polyimide	aSi	IN LINE LASER REPAIR	TMP Laser Repair	4	-1.0	1015.0	2	29256.666666666664
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	462.0	6	29671.333333333332
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	595.0	1	30266.333333333332
0	FDC39B	Polyimide	aSi	GATE ETCH, GEN II	AKT1600B-209	4	-1.0	1372.0	7	30596.04761904762
0	FDC39B	Polyimide	aSi	IN LINE LASER REPAIR	TMP Laser Repair	4	-1.0	1448.0	3	30704.666666666664
0	FDC39B	Polyimide	aSi	IN LINE LASER REPAIR	TMP Laser Repair	4	-1.0	1454.5	4	32159.166666666664
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	2283.428571428572	0	32549.761904761905
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	33.14285714285716	2	32582.904761904763
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	638.285714285716	7	33221.19047619048
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	49.5	3	33270.69047619048
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	74.0	4	33344.69047619048
0	FDC39B	Polyimide	aSi	MESA PASSIVATION DEPOSITION, SIN, GEN II	AKT1600D-209	4	-1.0	1195.0	0	33744.76190476191
0	FDC39B	Polyimide	aSi	AZORES STACK PHOTO	Azores 205B	4	-1.0	3610.0	1	33876.33333333333
0	FDC39B	Polyimide	aSi	STACK DEPOSITION, ASI, GEN II	AKT1600D-209	4	-1.0	240.5714285714284	2	33985.333333333336
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	63.4285714285716	2	34048.76190476191
0	FDC39B	Polyimide	aSi	GATE ETCH ORBOTECH INSPECTION	Orbotech-203D	4	7.0	5088.0	5	34312.04761904762
0	FDC39B	Polyimide	aSi	IN LINE LASER REPAIR	TMP Laser Repair	4	-1.0	104.5714285714284	5	34416.619047619046
0	FDC39B	Polyimide	aSi	PANEL CLEAN, GEN II	Universal Plastics Hood #1	4	-1.0	122.0	5	34538.619047619046
0	FDC39B	Polyimide	aSi	AZORES CONTACT PHOTO	Azores 205B	4	-1.0	1604.0	0	35480.33333333333
0	FDC39B	Polyimide	aSi	GATE ETCH ORBOTECH INSPECTION	Orbotech-203D	4	6.0	3703.0	6	38015.04761904762
0	FDC39B	Polyimide	aSi	GATE ETCH ORBOTECH INSPECTION	Orbotech-203D	4	3.0	60.0	7	38075.04761904762
0	FDC39B	Polyimide	aSi	ACTIVE PHOTO ORBOTECH INSPECTION	Orbotech-203D	4	5.0	66.0	1	38141.04761904762
